,Date,Phase,Team_home,Team_home_short,Team_visitor,Team_visitor_short,World_Cup,Team_home_penalties_score,Team_visitor_penalties_score,Team_home_score,Team_visitor_score,Result,Result_with_penalties
0,2014-06-12,Group A,Brazil,BRA,Croatia,CRO,Brazil-2014,0,0,3,1,Win,Win
1,2014-06-13,Group A,Mexico,MEX,Cameroon,CMR,Brazil-2014,0,0,1,0,Win,Win
2,2014-06-13,Group B,Spain,ESP,Netherlands,NED,Brazil-2014,0,0,1,5,Loss,Loss
3,2014-06-13,Group B,Chile,CHI,Australia,AUS,Brazil-2014,0,0,3,1,Win,Win
4,2014-06-14,Group C,Colombia,COL,Greece,GRE,Brazil-2014,0,0,3,0,Win,Win
5,2014-06-14,Group D,Uruguay,URU,Costa Rica,CRC,Brazil-2014,0,0,1,3,Loss,Loss
6,2014-06-14,Group D,England,ENG,Italy,ITA,Brazil-2014,0,0,1,2,Loss,Loss
7,2014-06-14,Group C,Côte d'Ivoire,CIV,Japan,JPN,Brazil-2014,0,0,2,1,Win,Win
8,2014-06-15,Group E,Switzerland,SUI,Ecuador,ECU,Brazil-2014,0,0,2,1,Win,Win
9,2014-06-15,Group E,France,FRA,Honduras,HON,Brazil-2014,0,0,3,0,Win,Win
10,2014-06-15,Group F,Argentina,ARG,Bosnia and Herzegovina,BIH,Brazil-2014,0,0,2,1,Win,Win
11,2014-06-16,Group G,Germany,GER,Portugal,POR,Brazil-2014,0,0,4,0,Win,Win
12,2014-06-16,Group F,IR Iran,IRN,Nigeria,NGA,Brazil-2014,0,0,0,0,Draw,Draw
13,2014-06-16,Group G,Ghana,GHA,USA,USA,Brazil-2014,0,0,1,2,Loss,Loss
14,2014-06-17,Group H,Belgium,BEL,Algeria,ALG,Brazil-2014,0,0,2,1,Win,Win
15,2014-06-17,Group A,Brazil,BRA,Mexico,MEX,Brazil-2014,0,0,0,0,Draw,Draw
16,2014-06-17,Group H,Russia,RUS,Korea Republic,KOR,Brazil-2014,0,0,1,1,Draw,Draw
17,2014-06-18,Group B,Australia,AUS,Netherlands,NED,Brazil-2014,0,0,2,3,Loss,Loss
18,2014-06-18,Group B,Spain,ESP,Chile,CHI,Brazil-2014,0,0,0,2,Loss,Loss
19,2014-06-18,Group A,Cameroon,CMR,Croatia,CRO,Brazil-2014,0,0,0,4,Loss,Loss
20,2014-06-19,Group C,Colombia,COL,Côte d'Ivoire,CIV,Brazil-2014,0,0,2,1,Win,Win
21,2014-06-19,Group D,Uruguay,URU,England,ENG,Brazil-2014,0,0,2,1,Win,Win
22,2014-06-19,Group C,Japan,JPN,Greece,GRE,Brazil-2014,0,0,0,0,Draw,Draw
23,2014-06-20,Group D,Italy,ITA,Costa Rica,CRC,Brazil-2014,0,0,0,1,Loss,Loss
24,2014-06-20,Group E,Switzerland,SUI,France,FRA,Brazil-2014,0,0,2,5,Loss,Loss
25,2014-06-20,Group E,Honduras,HON,Ecuador,ECU,Brazil-2014,0,0,1,2,Loss,Loss
26,2014-06-21,Group F,Argentina,ARG,IR Iran,IRN,Brazil-2014,0,0,1,0,Win,Win
27,2014-06-21,Group G,Germany,GER,Ghana,GHA,Brazil-2014,0,0,2,2,Draw,Draw
28,2014-06-21,Group F,Nigeria,NGA,Bosnia and Herzegovina,BIH,Brazil-2014,0,0,1,0,Win,Win
29,2014-06-22,Group H,Belgium,BEL,Russia,RUS,Brazil-2014,0,0,1,0,Win,Win
30,2014-06-22,Group H,Korea Republic,KOR,Algeria,ALG,Brazil-2014,0,0,2,4,Loss,Loss
31,2014-06-22,Group G,USA,USA,Portugal,POR,Brazil-2014,0,0,2,2,Draw,Draw
32,2014-06-23,Group B,Australia,AUS,Spain,ESP,Brazil-2014,0,0,0,3,Loss,Loss
33,2014-06-23,Group B,Netherlands,NED,Chile,CHI,Brazil-2014,0,0,2,0,Win,Win
34,2014-06-23,Group A,Cameroon,CMR,Brazil,BRA,Brazil-2014,0,0,1,4,Loss,Loss
35,2014-06-23,Group A,Croatia,CRO,Mexico,MEX,Brazil-2014,0,0,1,3,Loss,Loss
36,2014-06-24,Group D,Italy,ITA,Uruguay,URU,Brazil-2014,0,0,0,1,Loss,Loss
37,2014-06-24,Group D,Costa Rica,CRC,England,ENG,Brazil-2014,0,0,0,0,Draw,Draw
38,2014-06-24,Group C,Japan,JPN,Colombia,COL,Brazil-2014,0,0,1,4,Loss,Loss
39,2014-06-24,Group C,Greece,GRE,Côte d'Ivoire,CIV,Brazil-2014,0,0,2,1,Win,Win
40,2014-06-25,Group F,Nigeria,NGA,Argentina,ARG,Brazil-2014,0,0,2,3,Loss,Loss
41,2014-06-25,Group F,Bosnia and Herzegovina,BIH,IR Iran,IRN,Brazil-2014,0,0,3,1,Win,Win
42,2014-06-25,Group E,Honduras,HON,Switzerland,SUI,Brazil-2014,0,0,0,3,Loss,Loss
43,2014-06-25,Group E,Ecuador,ECU,France,FRA,Brazil-2014,0,0,0,0,Draw,Draw
44,2014-06-26,Group G,USA,USA,Germany,GER,Brazil-2014,0,0,0,1,Loss,Loss
45,2014-06-26,Group G,Portugal,POR,Ghana,GHA,Brazil-2014,0,0,2,1,Win,Win
46,2014-06-26,Group H,Korea Republic,KOR,Belgium,BEL,Brazil-2014,0,0,0,1,Loss,Loss
47,2014-06-26,Group H,Algeria,ALG,Russia,RUS,Brazil-2014,0,0,1,1,Draw,Draw
48,2014-06-28,Round of 16,Brazil,BRA,Chile,CHI,Brazil-2014,3,2,1,1,Draw,Win
49,2014-06-28,Round of 16,Colombia,COL,Uruguay,URU,Brazil-2014,0,0,2,0,Win,Win
50,2014-06-29,Round of 16,Netherlands,NED,Mexico,MEX,Brazil-2014,0,0,2,1,Win,Win
51,2014-06-29,Round of 16,Costa Rica,CRC,Greece,GRE,Brazil-2014,5,3,1,1,Draw,Win
52,2014-06-30,Round of 16,France,FRA,Nigeria,NGA,Brazil-2014,0,0,2,0,Win,Win
53,2014-06-30,Round of 16,Germany,GER,Algeria,ALG,Brazil-2014,0,0,2,1,Win,Win
54,2014-07-01,Round of 16,Argentina,ARG,Switzerland,SUI,Brazil-2014,0,0,1,0,Win,Win
55,2014-07-01,Round of 16,Belgium,BEL,USA,USA,Brazil-2014,0,0,2,1,Win,Win
56,2014-07-04,Quarter-finals,France,FRA,Germany,GER,Brazil-2014,0,0,0,1,Loss,Loss
57,2014-07-04,Quarter-finals,Brazil,BRA,Colombia,COL,Brazil-2014,0,0,2,1,Win,Win
58,2014-07-05,Quarter-finals,Argentina,ARG,Belgium,BEL,Brazil-2014,0,0,1,0,Win,Win
59,2014-07-05,Quarter-finals,Netherlands,NED,Costa Rica,CRC,Brazil-2014,4,3,0,0,Draw,Win
60,2014-07-08,Semi-finals,Brazil,BRA,Germany,GER,Brazil-2014,0,0,1,7,Loss,Loss
61,2014-07-09,Semi-finals,Netherlands,NED,Argentina,ARG,Brazil-2014,2,4,0,0,Draw,Loss
62,2014-07-12,Play-off for third place,Brazil,BRA,Netherlands,NED,Brazil-2014,0,0,0,3,Loss,Loss
63,2014-07-13,Final,Germany,GER,Argentina,ARG,Brazil-2014,0,0,1,0,Win,Win
64,2010-06-11,Group A,South Africa,RSA,Mexico,MEX,SouthAfrica-2010,0,0,1,1,Draw,Draw
65,2010-06-11,Group A,Uruguay,URU,France,FRA,SouthAfrica-2010,0,0,0,0,Draw,Draw
66,2010-06-12,Group B,Korea Republic,KOR,Greece,GRE,SouthAfrica-2010,0,0,2,0,Win,Win
67,2010-06-12,Group B,Argentina,ARG,Nigeria,NGA,SouthAfrica-2010,0,0,1,0,Win,Win
68,2010-06-12,Group C,England,ENG,USA,USA,SouthAfrica-2010,0,0,1,1,Draw,Draw
69,2010-06-13,Group C,Algeria,ALG,Slovenia,SVN,SouthAfrica-2010,0,0,0,1,Loss,Loss
70,2010-06-13,Group D,Serbia,SRB,Ghana,GHA,SouthAfrica-2010,0,0,0,1,Loss,Loss
71,2010-06-13,Group D,Germany,GER,Australia,AUS,SouthAfrica-2010,0,0,4,0,Win,Win
72,2010-06-14,Group E,Netherlands,NED,Denmark,DEN,SouthAfrica-2010,0,0,2,0,Win,Win
73,2010-06-14,Group E,Japan,JPN,Cameroon,CMR,SouthAfrica-2010,0,0,1,0,Win,Win
74,2010-06-14,Group F,Italy,ITA,Paraguay,PAR,SouthAfrica-2010,0,0,1,1,Draw,Draw
75,2010-06-15,Group F,New Zealand,NZL,Slovakia,SVK,SouthAfrica-2010,0,0,1,1,Draw,Draw
76,2010-06-15,Group G,Côte d'Ivoire,CIV,Portugal,POR,SouthAfrica-2010,0,0,0,0,Draw,Draw
77,2010-06-15,Group G,Brazil,BRA,Korea DPR,PRK,SouthAfrica-2010,0,0,2,1,Win,Win
78,2010-06-16,Group H,Honduras,HON,Chile,CHI,SouthAfrica-2010,0,0,0,1,Loss,Loss
79,2010-06-16,Group H,Spain,ESP,Switzerland,SUI,SouthAfrica-2010,0,0,0,1,Loss,Loss
80,2010-06-16,Group A,South Africa,RSA,Uruguay,URU,SouthAfrica-2010,0,0,0,3,Loss,Loss
81,2010-06-17,Group B,Argentina,ARG,Korea Republic,KOR,SouthAfrica-2010,0,0,4,1,Win,Win
82,2010-06-17,Group B,Greece,GRE,Nigeria,NGA,SouthAfrica-2010,0,0,2,1,Win,Win
83,2010-06-17,Group A,France,FRA,Mexico,MEX,SouthAfrica-2010,0,0,0,2,Loss,Loss
84,2010-06-18,Group D,Germany,GER,Serbia,SRB,SouthAfrica-2010,0,0,0,1,Loss,Loss
85,2010-06-18,Group C,Slovenia,SVN,USA,USA,SouthAfrica-2010,0,0,2,2,Draw,Draw
86,2010-06-18,Group C,England,ENG,Algeria,ALG,SouthAfrica-2010,0,0,0,0,Draw,Draw
87,2010-06-19,Group E,Netherlands,NED,Japan,JPN,SouthAfrica-2010,0,0,1,0,Win,Win
88,2010-06-19,Group D,Ghana,GHA,Australia,AUS,SouthAfrica-2010,0,0,1,1,Draw,Draw
89,2010-06-19,Group E,Cameroon,CMR,Denmark,DEN,SouthAfrica-2010,0,0,1,2,Loss,Loss
90,2010-06-20,Group F,Slovakia,SVK,Paraguay,PAR,SouthAfrica-2010,0,0,0,2,Loss,Loss
91,2010-06-20,Group F,Italy,ITA,New Zealand,NZL,SouthAfrica-2010,0,0,1,1,Draw,Draw
92,2010-06-20,Group G,Brazil,BRA,Côte d'Ivoire,CIV,SouthAfrica-2010,0,0,3,1,Win,Win
93,2010-06-21,Group G,Portugal,POR,Korea DPR,PRK,SouthAfrica-2010,0,0,7,0,Win,Win
94,2010-06-21,Group H,Chile,CHI,Switzerland,SUI,SouthAfrica-2010,0,0,1,0,Win,Win
95,2010-06-21,Group H,Spain,ESP,Honduras,HON,SouthAfrica-2010,0,0,2,0,Win,Win
96,2010-06-22,Group A,Mexico,MEX,Uruguay,URU,SouthAfrica-2010,0,0,0,1,Loss,Loss
97,2010-06-22,Group A,France,FRA,South Africa,RSA,SouthAfrica-2010,0,0,1,2,Loss,Loss
98,2010-06-22,Group B,Nigeria,NGA,Korea Republic,KOR,SouthAfrica-2010,0,0,2,2,Draw,Draw
99,2010-06-22,Group B,Greece,GRE,Argentina,ARG,SouthAfrica-2010,0,0,0,2,Loss,Loss
100,2010-06-23,Group C,Slovenia,SVN,England,ENG,SouthAfrica-2010,0,0,0,1,Loss,Loss
101,2010-06-23,Group C,USA,USA,Algeria,ALG,SouthAfrica-2010,0,0,1,0,Win,Win
102,2010-06-23,Group D,Ghana,GHA,Germany,GER,SouthAfrica-2010,0,0,0,1,Loss,Loss
103,2010-06-23,Group D,Australia,AUS,Serbia,SRB,SouthAfrica-2010,0,0,2,1,Win,Win
104,2010-06-24,Group F,Slovakia,SVK,Italy,ITA,SouthAfrica-2010,0,0,3,2,Win,Win
105,2010-06-24,Group F,Paraguay,PAR,New Zealand,NZL,SouthAfrica-2010,0,0,0,0,Draw,Draw
106,2010-06-24,Group E,Denmark,DEN,Japan,JPN,SouthAfrica-2010,0,0,1,3,Loss,Loss
107,2010-06-24,Group E,Cameroon,CMR,Netherlands,NED,SouthAfrica-2010,0,0,1,2,Loss,Loss
108,2010-06-25,Group G,Portugal,POR,Brazil,BRA,SouthAfrica-2010,0,0,0,0,Draw,Draw
109,2010-06-25,Group G,Korea DPR,PRK,Côte d'Ivoire,CIV,SouthAfrica-2010,0,0,0,3,Loss,Loss
110,2010-06-25,Group H,Chile,CHI,Spain,ESP,SouthAfrica-2010,0,0,1,2,Loss,Loss
111,2010-06-25,Group H,Switzerland,SUI,Honduras,HON,SouthAfrica-2010,0,0,0,0,Draw,Draw
112,2010-06-26,Round of 16,Uruguay,URU,Korea Republic,KOR,SouthAfrica-2010,0,0,2,1,Win,Win
113,2010-06-26,Round of 16,USA,USA,Ghana,GHA,SouthAfrica-2010,0,0,1,2,Loss,Loss
114,2010-06-27,Round of 16,Germany,GER,England,ENG,SouthAfrica-2010,0,0,4,1,Win,Win
115,2010-06-27,Round of 16,Argentina,ARG,Mexico,MEX,SouthAfrica-2010,0,0,3,1,Win,Win
116,2010-06-28,Round of 16,Netherlands,NED,Slovakia,SVK,SouthAfrica-2010,0,0,2,1,Win,Win
117,2010-06-28,Round of 16,Brazil,BRA,Chile,CHI,SouthAfrica-2010,0,0,3,0,Win,Win
118,2010-06-29,Round of 16,Paraguay,PAR,Japan,JPN,SouthAfrica-2010,5,3,0,0,Draw,Win
119,2010-06-29,Round of 16,Spain,ESP,Portugal,POR,SouthAfrica-2010,0,0,1,0,Win,Win
120,2010-07-02,Quarter-finals,Netherlands,NED,Brazil,BRA,SouthAfrica-2010,0,0,2,1,Win,Win
121,2010-07-02,Quarter-finals,Uruguay,URU,Ghana,GHA,SouthAfrica-2010,4,2,1,1,Draw,Win
